patch,date,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8
105.0,2022-12-12,508.5,303.5,289.0,515.5,445.0,465.5,821.5,1955.5
105.0,2023-02-24,428.0,295.3333333333333,402.0,513.3333333333334,591.3333333333334,601.0,916.3333333333334,1668.6666666666667
105.0,2023-02-27,428.0,295.3333333333333,402.0,513.3333333333334,591.3333333333334,601.0,916.3333333333334,1668.6666666666667
110.0,2020-11-11,,667.0,,883.0,,1011.0,,2206.0
110.0,2021-02-02,,413.0,,686.0,,920.0,,1688.0
110.0,2021-07-22,,528.0,,846.0,,945.5,,3170.75
110.0,2021-07-28,,528.0,,846.0,,945.5,,3170.75
110.0,2021-10-07,,567.0,,1009.0,,1114.0,,2671.0
110.0,2021-12-10,,302.5,,670.5,,448.5,,3470.0
110.0,2022-02-28,,410.0,,728.0,,703.0,,2910.0
110.0,2022-07-08,,606.3333333333334,,856.3333333333334,,1127.0,,2080.6666666666665
110.0,2022-07-20,685.0,1120.0,1404.0,1703.0,2216.0,2467.0,2753.0,4050.0
110.0,2022-07-25,685.0,1120.0,1404.0,1703.0,2216.0,2467.0,2753.0,4050.0
110.0,2022-09-13,475.0,778.0,958.0,1142.0,1179.0,1270.0,1765.0,2942.0
110.0,2022-10-12,443.0,397.0,641.0,727.0,766.0,627.0,1413.0,3285.0
110.0,2022-10-20,884.6666666666666,849.3333333333334,994.0,1090.6666666666667,1032.3333333333333,946.6666666666666,1581.3333333333333,3412.6666666666665
110.0,2022-12-09,721.0,460.0,442.0,617.0,601.0,400.0,1152.0,2611.0
110.0,2022-12-12,469.0,362.5,332.0,573.0,394.0,461.0,905.5,2005.5
110.0,2023-02-24,367.0,381.6666666666667,480.0,601.0,664.6666666666666,649.0,1075.0,2141.3333333333335
110.0,2023-02-27,367.0,381.6666666666667,480.0,601.0,664.6666666666666,649.0,1075.0,2141.3333333333335
114.0,2020-11-11,,587.0,,862.0,,650.0,,3504.0
114.0,2021-02-02,,320.0,,447.0,,629.0,,1726.0
114.0,2021-07-22,,433.0,,705.5,,702.0,,3271.25
114.0,2021-07-28,,433.0,,705.5,,702.0,,3271.25
114.0,2021-10-07,,312.0,,551.0,,541.0,,2640.0
114.0,2021-12-10,,307.0,,580.0,,697.0,,1666.0
114.0,2022-02-28,,643.0,,1002.0,,1153.0,,2219.0
114.0,2022-07-08,,768.3333333333334,,1067.6666666666667,,1299.6666666666667,,2547.6666666666665
114.0,2022-07-20,528.0,669.0,895.0,1072.0,1305.0,1459.0,1741.0,2551.0
114.0,2022-07-25,528.0,669.0,895.0,1072.0,1305.0,1459.0,1741.0,2551.0
114.0,2022-09-13,644.0,963.0,1162.0,1305.0,1523.0,1827.0,1958.0,2854.0
114.0,2022-10-12,636.0,784.0,1050.0,1181.0,1217.0,1211.0,1887.0,3348.0
114.0,2022-10-20,1069.3333333333333,1013.6666666666666,1124.6666666666667,1262.3333333333333,1193.6666666666667,1202.6666666666667,1796.3333333333333,3267.3333333333335
114.0,2022-12-09,798.0,574.0,764.0,1013.0,678.0,512.0,1496.0,4715.0
114.0,2022-12-12,394.0,386.5,432.0,783.0,494.5,479.0,1203.5,3214.0
114.0,2023-02-24,416.3333333333333,393.3333333333333,600.0,747.6666666666666,732.6666666666666,625.0,1427.0,3848.3333333333335
114.0,2023-02-27,416.3333333333333,393.3333333333333,600.0,747.6666666666666,732.6666666666666,625.0,1427.0,3848.3333333333335
115.0,2020-11-11,,588.0,,744.0,,958.0,,1752.0
115.0,2021-02-02,,397.0,,717.0,,740.0,,1766.0
115.0,2021-07-22,,620.25,,999.5,,1410.5,,2820.0
115.0,2021-07-28,,620.25,,999.5,,1410.5,,2820.0
115.0,2021-10-07,,580.0,,1048.0,,984.0,,3044.0
115.0,2021-12-10,,249.0,,696.0,,392.5,,3665.0
115.0,2022-02-28,,534.0,,798.0,,891.0,,2169.0
115.0,2022-07-08,,513.3333333333334,,796.6666666666666,,764.0,,3671.3333333333335
115.0,2022-07-20,422.0,454.0,662.0,784.0,884.0,873.0,1341.0,3225.0
115.0,2022-07-25,422.0,454.0,662.0,784.0,884.0,873.0,1341.0,3225.0
115.0,2022-09-13,267.0,488.0,569.0,707.0,809.0,867.0,1161.0,2106.0
115.0,2022-10-12,360.0,366.0,475.0,546.0,666.0,627.0,956.0,1582.0
115.0,2022-10-20,921.3333333333334,852.3333333333334,919.6666666666666,1047.0,1023.0,1062.6666666666667,1358.0,2282.0
115.0,2022-12-09,1066.0,916.0,877.0,1063.0,1019.0,1091.0,1202.0,2096.0
115.0,2022-12-12,552.5,468.5,460.5,737.0,600.0,707.0,1082.0,2188.0
115.0,2023-02-24,507.0,517.3333333333334,623.0,760.3333333333334,900.3333333333334,981.0,1193.3333333333333,1974.3333333333333
115.0,2023-02-27,507.0,517.3333333333334,623.0,760.3333333333334,900.3333333333334,981.0,1193.3333333333333,1974.3333333333333
119.0,2020-11-11,,620.0,,795.0,,921.0,,1668.0
119.0,2021-02-02,,417.0,,722.0,,803.0,,2171.0
119.0,2021-07-22,,738.0,,1162.5,,1682.5,,3348.0
119.0,2021-07-28,,738.0,,1162.5,,1682.5,,3348.0
119.0,2021-10-07,,522.0,,984.0,,921.0,,2811.0
119.0,2021-12-10,,244.5,,660.0,,352.0,,3114.0
119.0,2022-02-28,,464.0,,735.0,,769.0,,2325.0
119.0,2022-07-08,,617.3333333333334,,951.3333333333334,,1026.3333333333333,,2758.6666666666665
119.0,2022-07-20,431.0,522.0,746.0,852.0,1028.0,1143.0,1487.0,2506.0
119.0,2022-07-25,431.0,522.0,746.0,852.0,1028.0,1143.0,1487.0,2506.0
119.0,2022-09-13,347.0,561.0,697.0,811.0,857.0,978.0,1224.0,1910.0
119.0,2022-10-12,646.0,788.0,940.0,1089.0,1247.0,1411.0,1570.0,2145.0
119.0,2022-10-20,1098.3333333333333,1018.3333333333334,1105.0,1209.3333333333333,1215.6666666666667,1287.3333333333333,1587.0,2533.0
119.0,2022-12-09,729.0,591.0,757.0,879.0,722.0,554.0,1214.0,3160.0
119.0,2022-12-12,386.5,319.0,386.0,697.0,470.0,442.5,1009.5,2323.5
119.0,2023-02-24,393.6666666666667,392.6666666666667,602.6666666666666,721.6666666666666,783.0,704.3333333333334,1356.6666666666667,2645.3333333333335
119.0,2023-02-27,393.6666666666667,392.6666666666667,602.6666666666666,721.6666666666666,783.0,704.3333333333334,1356.6666666666667,2645.3333333333335
