"patch","date","nmin_30","nmin_60","nmin_90","doy","crop"
119,2020-08-04,11.02,4.90333333333333,4.28666666666667,217,"Lup"
12,2020-11-11,13.02,3.57333333333333,3.47333333333333,316,"CC1"
13,2020-11-11,8.98666666666667,26.74,69.1133333333333,316,"Bar"
19,2020-11-11,12.3333333333333,23.7133333333333,20.9333333333333,316,"CC2"
20,2020-11-11,23.0866666666667,26.7533333333333,6.46333333333333,316,"Whe"
21,2020-11-11,10.1566666666667,15.7633333333333,42.4066666666667,316,"Rap"
39,2020-11-11,13.0833333333333,12.0733333333333,18.28,316,"Rap"
40,2020-11-11,8.89666666666667,1.83666666666667,2.30666666666667,316,"CC1"
49,2020-11-11,9.39666666666667,17.65,30.8833333333333,316,"Bar"
50,2020-11-11,25.8266666666667,37.87,14.9533333333333,316,"Whe"
51,2020-11-11,5.54666666666667,1.56,4.75,316,"CC1"
58,2020-11-11,16.9733333333333,24.4833333333333,10.8066666666667,316,"CC2"
59,2020-11-11,9.37,4.91333333333333,20.2433333333333,316,"Rye"
60,2020-11-11,6.28,1.39666666666667,1.84666666666667,316,"CC1"
65,2020-11-11,18.2166666666667,23.19,23.5133333333333,316,"CC2"
66,2020-11-11,9.50333333333333,0.906666666666667,2.4,316,"CC1"
68,2020-11-11,38.0033333333333,23.49,25.3766666666667,316,"Fal"
73,2020-11-11,9.16,12.77,11.12,316,"Rap"
74,2020-11-11,57.31,85.39,22.0133333333333,316,"Whe"
76,2020-11-11,13.1033333333333,19.1933333333333,29.28,316,"WOats"
81,2020-11-11,9.22,21.8466666666667,39.08,316,"Bar"
89,2020-11-11,13.1233333333333,14.56,18.0366666666667,316,"Rye"
90,2020-11-11,41.3966666666667,51.85,16.15,316,"Fal"
95,2020-11-11,9.79,11.6066666666667,13.7966666666667,316,"WOats"
96,2020-11-11,4.93333333333333,2.42666666666667,5.86,316,"CC1"
102,2020-11-11,7.50666666666667,1.76666666666667,3.05,316,"CC1"
105,2020-11-11,6.65,2.80333333333333,2.22333333333333,316,"CC1"
110,2020-11-11,46.17,37.57,19.0866666666667,316,"Fal"
114,2020-11-11,7.35333333333333,1.3,3.39,316,"CC1"
115,2020-11-11,14.1466666666667,13.6466666666667,18.5766666666667,316,"WOats"
119,2020-11-11,11.93,11.3433333333333,14.5066666666667,316,"Rye"
12,2021-02-02,9.65666666666667,5.02666666666667,10.5133333333333,33,"CC1"
13,2021-02-02,11.9566666666667,5.39666666666667,16.7833333333333,33,"Bar"
19,2021-02-02,15.1133333333333,3.07333333333333,16.18,33,"CC2"
20,2021-02-02,10.7266666666667,6.88666666666667,17.76,33,"Whe"
21,2021-02-02,12.9133333333333,2.29333333333333,6.91333333333333,33,"Rap"
39,2021-02-02,9.30333333333333,4.55333333333333,12.14,33,"Rap"
40,2021-02-02,6.18333333333333,4.61,5.35666666666667,33,"CC1"
49,2021-02-02,11.1233333333333,4.87666666666667,15.6033333333333,33,"Bar"
50,2021-02-02,6.76333333333333,6.42333333333333,23.29,33,"Whe"
51,2021-02-02,3.67333333333333,0.663333333333333,0.733333333333333,33,"CC1"
58,2021-02-02,10.8366666666667,4.98333333333333,18.1866666666667,33,"CC2"
59,2021-02-02,2.81,0.11,6.29,33,"Rye"
60,2021-02-02,5.91333333333333,2.24666666666667,0.963333333333333,33,"CC1"
65,2021-02-02,13.05,9.03666666666667,16.6966666666667,33,"CC2"
66,2021-02-02,11.3066666666667,6.34333333333333,2.75666666666667,33,"CC1"
68,2021-02-02,4.45333333333333,3.55,19.5666666666667,33,"Fal"
73,2021-02-02,13.34,7.06333333333333,5.58,33,"Rap"
74,2021-02-02,10.5833333333333,16.8433333333333,67.9233333333333,33,"Whe"
76,2021-02-02,4.54,3.47333333333333,6.45,33,"WOats"
81,2021-02-02,11.82,1.83666666666667,17.13,33,"Bar"
89,2021-02-02,7.9,4.04666666666667,15.7633333333333,33,"Rye"
90,2021-02-02,5.68,15.3133333333333,42.0566666666667,33,"Fal"
95,2021-02-02,5.42333333333333,2.23666666666667,4.47333333333333,33,"WOats"
96,2021-02-02,6.57,2.34,3.20666666666667,33,"CC1"
102,2021-02-02,6.78,2.8,3.35666666666667,33,"CC1"
105,2021-02-02,7.12666666666667,2.33666666666667,1.87,33,"CC1"
110,2021-02-02,11.4633333333333,7.46,28.4233333333333,33,"Fal"
114,2021-02-02,7.23666666666667,1.93333333333333,0.92,33,"CC1"
115,2021-02-02,7.88,3.35666666666667,8.31666666666667,33,"WOats"
119,2021-02-02,7.83333333333333,1.93,4.46333333333333,33,"Rye"
13,2021-07-22,45.8333333333333,8.02,2.63,203,"Bar"
20,2021-07-28,7.20333333333333,0.896666666666667,1.40333333333333,209,"Whe"
21,2021-07-28,61.29,8.21666666666667,1.68333333333333,209,"Rap"
39,2021-07-28,59.4233333333333,7.46666666666667,1.39666666666667,209,"Rap"
49,2021-07-22,35.74,7.03666666666667,2.06,203,"Bar"
50,2021-07-28,12.0266666666667,2.79,1.66666666666667,209,"Whe"
59,2021-07-22,28.71,5.68,2.51666666666667,203,"Rye"
60,2021-10-07,11.4,7.13,3.97333333333333,280,"Sun"
68,2021-07-22,4.73666666666667,3.56333333333333,3.57333333333333,203,"Lup"
73,2021-07-28,70.4233333333333,8.87,1.67,209,"Rap"
74,2021-07-28,15,4.72333333333333,6.94666666666667,209,"Whe"
76,2021-07-22,22.4266666666667,6.50333333333333,1.83333333333333,203,"WOats"
81,2021-07-22,39.9,6.61333333333333,1.41,203,"Bar"
89,2021-07-22,32.3733333333333,5.64666666666667,1.51666666666667,203,"Rye"
90,2021-07-22,30.6466666666667,5.49333333333333,2.49333333333333,203,"Lup"
95,2021-07-22,26.31,5.51,2.70333333333333,203,"WOats"
96,2021-10-07,29.4666666666667,10.2766666666667,3.74,280,"Sun"
105,2021-10-07,15.4066666666667,23.05,4.13333333333333,280,"Sun"
110,2021-07-22,11.3533333333333,7.25,12.0433333333333,203,"Lup"
115,2021-07-22,25.9333333333333,6.72333333333333,2.28666666666667,203,"WOats"
119,2021-07-22,32.6333333333333,5.75,2.11333333333333,203,"Rye"
119,2022-02-28,13.1433333333333,3.16,3.65666666666667,59,"CC3"
115,2022-02-28,12.8666666666667,6.13666666666667,3.44666666666667,59,"CC3"
114,2022-02-28,16.6166666666667,10.6866666666667,19.3066666666667,59,"Fal"
110,2022-02-28,9.15,6.83333333333333,6.1,59,"Rye"
105,2022-02-28,14.6766666666667,8.40666666666667,8.57,59,"Woats"
102,2022-02-28,12.3233333333333,9.62333333333333,27.6233333333333,59,"Fal"
95,2022-02-28,10.4033333333333,6.62666666666667,3.44333333333333,59,"CC3"
96,2022-02-28,8.85,3.65333333333333,6.44,59,"Woats"
90,2022-02-28,6.49666666666667,1.41,1.06,59,"Rye"
89,2022-02-28,13.7266666666667,5.14333333333333,17.92,59,"CC3"
81,2022-02-28,18.8933333333333,10.19,6.05666666666667,59,"CC3"
76,2022-02-28,18.34,9.85666666666667,4.32,59,"CC3"
74,2022-02-28,20.54,6.72666666666667,3.47333333333333,59,"Rap"
73,2022-02-28,18.26,6.49333333333333,7.34,59,"Bar"
68,2022-02-28,6.13333333333333,0.973333333333333,1.28,59,"Rye"
66,2022-02-28,22.01,16.4,23.7333333333333,59,"Fal"
65,2022-02-28,25.1066666666667,33.86,72.7033333333333,59,"Whe"
60,2022-02-28,13.4366666666667,5.46,5.75333333333333,59,"Woats"
59,2022-02-28,13.08,5.78666666666667,5.90666666666667,59,"CC3"
58,2022-02-28,17.42,11.57,21.4833333333333,59,"Whe"
51,2022-02-28,14.06,10.5933333333333,11.0266666666667,59,"Fal"
50,2022-02-28,14.5733333333333,2.88333333333333,1.62666666666667,59,"Rap"
49,2022-02-28,19.0966666666667,10.8133333333333,7.24,59,"CC3"
40,2022-02-28,21.61,17.9133333333333,19.04,59,"Fal"
39,2022-02-28,20.6266666666667,12.39,5.15333333333333,59,"Bar"
21,2022-02-28,17.7066666666667,4.39333333333333,5.48,59,"Bar"
20,2022-02-28,17.6966666666667,3.54666666666667,4.02666666666667,59,"Rap"
19,2022-02-28,15.0766666666667,8.14666666666667,25.2633333333333,59,"Whe"
13,2022-02-28,22.59,16,7.21,59,"CC3"
12,2022-02-28,18.8466666666667,18.93,23.59,59,"Fal"
119,2021-12-10,9.88666666666667,6.33,14.02,344,"CC3"
115,2021-12-10,12.1533333333333,7.57666666666667,14.1966666666667,344,"CC3"
114,2021-12-10,41.8366666666667,18.9566666666667,19.7833333333333,344,"Fal"
110,2021-12-10,12.56,10.9966666666667,17.8366666666667,344,"Rye"
105,2021-12-10,12.97,13.3033333333333,15.0366666666667,344,"Woats"
102,2021-12-10,53.2266666666667,29.7033333333333,12.7133333333333,344,"Fal"
95,2021-12-10,8.82666666666667,6.29,13.2966666666667,344,"CC3"
96,2021-12-10,12.25,11.8833333333333,17.82,344,"Woats"
90,2021-12-10,8.99333333333333,5.87,11.9433333333333,344,"Rye"
89,2021-12-10,10.24,11.17,20.2966666666667,344,"CC3"
81,2021-12-10,16.0766666666667,17.89,9.25666666666667,344,"CC3"
76,2021-12-10,9.83666666666667,4.30333333333333,10.8633333333333,344,"CC3"
74,2021-12-10,18.0533333333333,7.94333333333333,13.34,344,"Rap"
73,2021-12-10,33.2866666666667,31.4833333333333,10.26,344,"Bar"
68,2021-12-10,10.6166666666667,5.53666666666667,16.1866666666667,344,"Rye"
66,2021-12-10,33.9766666666667,15.29,5.40666666666667,344,"Fal"
65,2021-12-10,81.5033333333333,68.1433333333333,64.68,344,"Fal"
60,2021-12-10,10.1266666666667,11.9333333333333,7.12,344,"Woats"
59,2021-12-10,7.36,5.81,16.91,344,"CC3"
58,2021-12-10,37.4633333333333,39.6766666666667,28.2033333333333,344,"Fal"
51,2021-12-10,20.37,4.95666666666667,6.26,344,"Fal"
50,2021-12-10,19.6633333333333,4.29666666666667,3.78333333333333,344,"Rap"
49,2021-12-10,22.0766666666667,15.9466666666667,12.7433333333333,344,"CC3"
