"patch","date","nmin_90","doy","crop","sm_30","sm_60","sm_90"
60,2021-02-02,0.963333333333333,33,"CC1",21.4645324487278,13.0311559223706,11.1325871866335
65,2021-02-02,16.6966666666667,33,"CC2",30.7685152519454,22.3288329039092,21.1445923002764
66,2021-02-02,2.75666666666667,33,"CC1",21.7142618515025,20.1141746409122,21.5288945984442
73,2021-02-02,5.58,33,"Rap",28.2740162744945,22.1006016103922,24.0968210745674
74,2021-02-02,67.9233333333333,33,"Whe",30.2941993546905,20.9933039337267,19.447914006268
76,2021-02-02,6.45,33,"WOats",18.5574031668615,13.2270457915174,9.50979266011239
81,2021-02-02,17.13,33,"Bar",24.2007968479426,20.5843254845559,22.7588422310217
90,2021-02-02,42.0566666666667,33,"Fal",15.7466411145943,11.3927030739017,6.7122807037321
95,2021-02-02,4.47333333333333,33,"WOats",14.8526905206036,10.2075411248186,9.83467654176533
96,2021-02-02,3.20666666666667,33,"CC1",15.8655296213802,11.2488677431837,12.3119204886097
102,2021-02-02,3.35666666666667,33,"CC1",16.0783534285977,12.7161177449,14.0488974761509
105,2021-02-02,1.87,33,"CC1",16.5655826530883,14.8183390990604,17.1716043916323
114,2021-02-02,0.92,33,"CC1",15.6529999228619,13.5366021825894,NA
115,2021-02-02,8.31666666666667,33,"WOats",17.4761015279449,14.4451713274018,12.3849677693563
20,2021-07-28,1.40333333333333,209,"Whe",9.35022697083737,9.83507249800073,13.5816133408378
49,2021-07-22,2.06,203,"Bar",17.9275845182109,10.281564469923,13.9294565965749
50,2021-07-28,1.66666666666667,209,"Whe",12.0412273651275,11.4544466697902,13.9932467924871
59,2021-07-22,2.51666666666667,203,"Rye",13.5409529004683,7.92563471341612,7.16822425543578
60,2021-10-07,3.97333333333333,280,"Sun",9.72048522379807,6.11029442496263,5.53337781565472
68,2021-07-22,3.57333333333333,203,"Lup",8.41983163307263,6.45064941737298,8.37921081476053
73,2021-07-28,1.67,209,"Rap",20.8066742875148,12.1399911422358,14.9872186549181
74,2021-07-28,6.94666666666667,209,"Whe",9.40713867949251,6.28190854059389,5.87596931401272
76,2021-07-22,1.83333333333333,203,"WOats",15.1603165302424,7.34458844913721,5.64739269854745
81,2021-07-22,1.41,203,"Bar",16.7185688806789,9.86200023694924,13.8771498948215
89,2021-07-22,1.51666666666667,203,"Rye",12.7246952200237,6.56646340596933,9.67704470786098
90,2021-07-22,2.49333333333333,203,"Lup",12.78278833867,7.54274630226122,6.58552124473108
95,2021-07-22,2.70333333333333,203,"WOats",12.9465051643718,8.18422092712556,7.36468203798921
96,2021-10-07,3.74,280,"Sun",11.3391493359905,3.7226644815999,7.15358730728351
105,2021-10-07,4.13333333333333,280,"Sun",10.237919393941,4.8577395123027,9.12988817318281
110,2021-07-22,12.0433333333333,203,"Lup",9.36084462174192,6.85270508156768,11.9608388528402
115,2021-07-22,2.28666666666667,203,"WOats",14.2391975542218,8.02452851984033,5.90847147388871
119,2022-02-28,3.65666666666667,59,"CC3",16.8329073061079,11.1131165979644,14.5185400527489
115,2022-02-28,3.44666666666667,59,"CC3",17.708262710548,13.7662446148347,11.4281907988705
114,2022-02-28,19.3066666666667,59,"Fal",15.0658450194943,12.7474658075876,18.1389773439295
110,2022-02-28,6.1,59,"Rye",17.2755363208696,14.5267603495124,18.7751021434775
105,2022-02-28,8.57,59,"Woats",18.9230996953208,12.8871162687388,15.8294488573531
102,2022-02-28,27.6233333333333,59,"Fal",17.8452928863145,15.1998318265099,17.5631878103898
95,2022-02-28,3.44333333333333,59,"CC3",14.8464380295656,10.3129127439569,9.93078498156027
96,2022-02-28,6.44,59,"Woats",15.3863723051539,9.50078960655514,11.2063059901864
90,2022-02-28,1.06,59,"Rye",16.1622292174074,12.1296927476934,10.1046635850479
89,2022-02-28,17.92,59,"CC3",16.8704454381138,14.9498494424972,17.6289375264289
81,2022-02-28,6.05666666666667,59,"CC3",23.6710775485574,19.450315094081,22.169005718617
76,2022-02-28,4.32,59,"CC3",19.0114669314309,12.6634119652779,10.1595652545236
74,2022-02-28,3.47333333333333,59,"Rap",27.4501055560963,18.7742225919258,18.7847053075575
73,2022-02-28,7.34,59,"Bar",28.3156703246151,21.560441791922,24.7077910354804
68,2022-02-28,1.28,59,"Rye",17.2784000153149,12.9610684208834,15.4734174968489
66,2022-02-28,23.7333333333333,59,"Fal",21.6114052767052,18.7267318011405,21.3108383050091
65,2022-02-28,72.7033333333333,59,"Whe",28.5458355902146,21.6266607979306,19.4829287887244
60,2022-02-28,5.75333333333333,59,"Woats",19.3392639013372,11.8462385311339,9.8987073393198
59,2022-02-28,5.90666666666667,59,"CC3",14.7018594844043,11.6237451773843,15.4960776603651
58,2022-02-28,21.4833333333333,59,"Whe",24.9869597540649,21.8110639814065,23.4336766141026
51,2022-02-28,11.0266666666667,59,"Fal",16.7358488396253,11.5334953801463,11.1758962634377
50,2022-02-28,1.62666666666667,59,"Rap",25.2339131416741,20.8413701058626,20.6741936852218
49,2022-02-28,7.24,59,"CC3",24.7340177629115,20.687164809244,23.0716891913068
40,2022-02-28,19.04,59,"Fal",21.1468691680061,19.7999959776937,19.8801246801838
39,2022-02-28,5.15333333333333,59,"Bar",28.6184618055501,25.9469561146165,25.4957804213314
21,2022-02-28,5.48,59,"Bar",26.2922249631672,21.5521330115016,23.4345081919619
20,2022-02-28,4.02666666666667,59,"Rap",26.0264374575724,20.3141038210018,23.7389903580311
19,2022-02-28,25.2633333333333,59,"Whe",25.3690385730481,21.4590363744878,23.6463404043256
13,2022-02-28,7.21,59,"CC3",23.9850031396757,20.7976473417026,21.9050213940376
12,2022-02-28,23.59,59,"Fal",27.2177174136284,22.0046797943612,23.661832091016
119,2021-12-10,14.02,344,"CC3",16.5266194840268,10.9310553963718,13.7613039194184
115,2021-12-10,14.1966666666667,344,"CC3",17.2728843056657,12.6433742742378,9.55692599043723
114,2021-12-10,19.7833333333333,344,"Fal",14.4381386611173,11.1744266367922,14.516903930286
110,2021-12-10,17.8366666666667,344,"Rye",15.4188489328727,11.279725379741,13.1490535797984
105,2021-12-10,15.0366666666667,344,"Woats",17.7352513406799,11.205326277195,10.9155577996121
102,2021-12-10,12.7133333333333,344,"Fal",16.0575384896734,12.1075195240494,13.4869613472563
95,2021-12-10,13.2966666666667,344,"CC3",14.4906209667726,10.0908088392699,9.06776441155366
96,2021-12-10,17.82,344,"Woats",14.8443837376279,8.83748180899631,10.6890302560469
90,2021-12-10,11.9433333333333,344,"Rye",15.4878700279849,11.0505449841455,7.6197239682385
89,2021-12-10,20.2966666666667,344,"CC3",16.1166580865996,13.2091631239299,14.0219643296241
81,2021-12-10,9.25666666666667,344,"CC3",22.0259774035558,16.7762883574031,14.5769251504826
76,2021-12-10,10.8633333333333,344,"CC3",18.421978719342,12.2319382306309,8.93324180243677
74,2021-12-10,13.34,344,"Rap",22.2345141755268,11.3800061932503,8.73988542733811
73,2021-12-10,10.26,344,"Bar",27.0053644720653,19.3909005271293,15.2631118004138
68,2021-12-10,16.1866666666667,344,"Rye",15.2099145066277,9.81779077530897,10.9707306360443
66,2021-12-10,5.40666666666667,344,"Fal",20.9456452030686,13.3316224493991,13.5057625694188
60,2021-12-10,7.12,344,"Woats",17.3742933038637,7.44306397115996,5.21833056726882
59,2021-12-10,16.91,344,"CC3",13.9594058012953,9.45163312096962,11.5271755188006
58,2021-12-10,28.2033333333333,344,"Fal",21.8572645377127,13.7859974019957,15.3178313090288
51,2021-12-10,6.26,344,"Fal",14.636932202321,9.14137474764031,8.42845434952988
50,2021-12-10,3.78333333333333,344,"Rap",20.9904772812411,14.4773011474365,13.9218314889382
49,2021-12-10,12.7433333333333,344,"CC3",23.9891332352305,18.6373135433286,15.8444084489048
40,2021-12-10,5.60666666666667,344,"Fal",20.3807365197873,14.3793336943457,13.3212485413738
39,2021-12-10,11.7333333333333,344,"Bar",27.5597456159215,20.6274554548366,15.1043503302086
21,2021-12-10,9.6,344,"Bar",24.4185572221782,16.8947601626105,15.9688905178873
20,2021-12-10,5.22,344,"Rap",23.5041745052299,14.3686686048557,14.1405432670878
19,2021-12-10,12.0633333333333,344,"Fal",21.4042841074893,11.7133598288838,12.1789583743103
13,2021-12-10,11.7833333333333,344,"CC3",23.8917679378537,17.4847891286455,15.9774846693064
12,2021-12-10,4.63,344,"Fal",24.891540835645,15.5955764127887,14.1888514100588
12,2022-10-20,2.82,293,"Maiz",16.1208037096664,9.33416886584343,12.0343674738002
13,2022-10-12,3.73666666666667,285,"Soy",9.83381185488959,6.66510536761541,15.9589056892057
19,2022-07-25,NA,206,"Whe",12.7850592606297,9.47386528479216,10.2319834142235
20,2022-07-25,NA,206,"Rap",8.58422145953694,12.1900807289945,14.8720505274472
21,2022-07-08,13.06,189,"Bar",8.21425135043796,11.7475781185662,13.2526469331946
39,2022-07-08,4.2,189,"Bar",17.3220920684979,12.3488691519463,14.8439126210221
40,2022-10-20,NA,293,"Maiz",13.8727324808782,6.65168233088999,10.5135994600791
49,2022-10-12,2.96666666666667,285,"Soy",11.3101157374581,10.9242731109744,14.5415049878003
50,2022-07-25,NA,206,"Rap",8.54411225984998,12.0439982340222,13.7053130460784
51,2022-07-20,NA,201,"Lup",4.21407795835752,5.8375851155255,6.59924766559705
58,2022-07-25,NA,206,"Whe",8.81606084358222,9.15966794105449,12.0849368426053
59,2022-09-13,1.18333333333333,256,"Sun",7.86756149704594,4.81656667666518,6.21636563923129
60,2022-07-20,NA,201,"SOats",8.3032710029337,6.25298308928894,5.27425976079913
65,2022-07-25,NA,206,"Whe",9.19041499940503,5.96545935721674,6.96114876757802
66,2022-10-20,6.22333333333333,293,"Maiz",17.7779794712588,10.2748739798545,11.350744408688
68,2022-07-20,NA,201,"Rye",2.89408677195048,3.43415629306173,5.49860501854773
73,2022-07-08,4.28333333333333,189,"Bar",14.3552324485496,12.4081912455102,13.5805139405083
74,2022-07-25,NA,206,"Rap",13.0748555344715,9.30439241140046,8.27830322542224
76,2022-10-20,9.46666666666667,293,"Maiz",12.8794976999202,7.26614101047023,4.51228528896365
81,2022-10-12,3.80333333333333,285,"Soy",13.4439633435681,10.3542802838183,14.3065058247428
89,2022-09-13,0.636666666666667,256,"Sun",10.8560783703912,7.4739849570028,9.03343469766177
90,2022-07-20,NA,201,"Rye",8.15152253352029,2.81884627825603,4.79804914088425
95,2022-10-20,3.90333333333333,293,"Maiz",12.5223144714105,7.64552940136167,6.93616465317878
96,2022-07-20,NA,201,"SOats",7.67733683755295,7.19280495642818,8.79248163858728
102,2022-07-20,NA,201,"Lup",4.09052565015558,5.8975745116129,10.8926905921653
105,2022-07-20,NA,201,"SOats",6.66474818458884,4.78339503454993,10.7929181702197
110,2022-07-20,NA,201,"Rye",7.19326839588972,4.48940601143268,8.76824780824791
114,2022-07-20,NA,201,"Lup",4.42176831901152,6.02004231624137,11.7794007833055
115,2022-10-20,7.28,293,"Maiz",14.3040459081232,8.2718955297029,4.94920318210812
119,2022-09-13,1.09333333333333,256,"Sun",9.02468733206407,7.69993170870574,9.33926258604429
12,2022-12-09,2.78666666666667,343,"Whe",19.6245468685309,9.17425432670221,11.9975470277906
13,2022-12-12,4.01333333333333,346,"Fal",15.3446617496184,6.62965402481059,15.9930464480811
19,2022-12-09,3.96,343,"Rap",14.929608896391,10.0289495515565,10.5020824375895
20,2022-12-09,1.62,343,"Bar",16.0300045669928,12.4534417123291,14.7599132794633
21,2022-12-12,1.86333333333333,346,"CC3",10.9162461227137,11.4964396437515,13.3369046918858
39,2022-12-09,6.21,343,"CC3",17.3287946069106,11.9380992284451,14.8488767059178
49,2022-12-09,3.93,343,"Fal",15.8118048359308,10.9891280549999,14.4723417001458
50,2022-12-09,1.57333333333333,343,"Bar",14.5682216026377,12.0625830805226,13.7133637234393
51,2022-12-12,3.94666666666667,346,"Rye",14.0644078762515,6.4459321710408,6.51473434795515
58,2022-12-09,23.4333333333333,343,"Rap",12.7488000681963,9.04461358245821,12.0395614807639
59,2022-12-09,2.72,343,"Woats",13.7648268894769,6.73833808227726,5.55809630166379
60,2022-12-12,3.11333333333333,346,"CC3",9.66091067786447,6.49758214922833,5.66542897621072
65,2022-12-09,13.9566666666667,343,"Rap",18.0785037750476,10.1151110429401,7.29531737184573
66,2022-12-09,24.67,343,"Whe",18.8879530900953,10.3582508080139,11.4346447566938
73,2022-12-09,1.85333333333333,343,"CC3",14.4376191074613,12.2069684830274,13.682551211972
74,2022-12-09,3.92,343,"Bar",15.7220371004294,9.12962239553562,8.16617021511068
76,2022-12-12,5.31666666666667,346,"Fal",16.0089107968067,9.26874263173589,4.45547570344623
81,2022-12-09,5.07,343,"Fal",15.7058296405119,11.9379036677738,14.4525776820027
89,2022-12-09,2.59,343,"Woats",12.9623353736094,7.52558844046664,8.69806658115667
90,2022-12-09,0.773333333333333,343,"CC3",9.71515638090706,3.12454133010303,4.95521889769183
95,2022-12-09,13.1,343,"Fal",13.4837659698128,9.89754629883281,7.36925159349304
96,2022-12-09,3.16333333333333,343,"CC3",8.11384065898062,6.44518680873531,8.07347603724872
102,2022-12-09,12.4366666666667,343,"Rye",14.4620235077992,6.98039464867353,9.94683315099908
105,2022-12-09,3.23666666666667,343,"CC3",7.76075994729106,7.1616522469582,10.0230967596116
110,2022-12-09,1.44333333333333,343,"CC3",9.54940193986625,4.38237203512029,8.87723120198984
114,2022-12-09,6.15666666666667,343,"Rye",11.6951042586958,6.97283936072457,11.4785863348325
115,2022-12-09,7.25,343,"Fal",15.4690442877572,10.1790886899978,5.06475257313876
119,2022-12-09,3.35,343,"Woats",15.3102541562941,7.61480820260399,9.64930649877884
12,2023-02-27,30.2533333333333,58,"Whe",27.2139611782543,22.3061140881843,23.4596805352874
13,2023-02-27,19.0433333333333,58,"Fal",22.9332447631388,20.711723706092,21.9443572812574
19,2023-02-27,5.32,58,"Rap",25.264539136752,20.1750301221274,22.418320026972
20,2023-02-27,6.73666666666667,58,"Bar",27.2845672970482,20.2540253921219,23.5538567288092
21,2023-02-27,2.99,58,"CC3",25.5197095149869,20.358428073711,20.9809560291281
40,2023-02-27,33.0033333333333,58,"Whe",20.9210512148171,19.3668505467925,19.2841179546409
