"date","patch","sm30","sm60","sm90"
2020-09-15,49,NA,10.3551083984734,13.7327956579246
2020-09-16,49,12.4146519837735,10.4436112291154,14.4838395378058
2020-09-16,60,NA,NA,3.2475095074419
2020-09-16,81,13.3148951328652,9.81091134775787,15.5396256694814
2020-09-17,49,12.4676588143382,10.5104046978369,14.886443122679
2020-09-17,81,13.2852100833596,9.82200768438348,15.6057431767408
2020-09-18,49,12.5180058011129,10.5174045146978,15.0190801344275
2020-09-18,81,13.3034410579585,9.85651694873823,15.7320557557308
2020-09-19,49,12.6073848060919,10.5189131163692,15.0951814382012
2020-09-19,81,13.2992259455867,9.91703121839367,15.7977827427814
2020-09-20,49,12.5844065110329,10.5107369254851,15.1531022760103
2020-09-20,81,13.2972947033094,9.91606414668909,15.8121890214223
2020-09-21,49,12.7232446393279,10.5222013620745,15.1963174782251
2020-09-21,76,10.5488192208434,7.28079586471881,4.59695265173439
2020-09-21,81,13.2983509565954,9.93271587231797,15.8217472781157
2020-09-21,95,7.98031284880205,7.1802208770629,5.57937814813928
2020-09-21,105,7.15513431943523,3.07049403532549,10.2937877150098
2020-09-21,115,11.7028817423206,7.74259962314304,5.03435781938712
2020-09-22,49,12.8874084926581,10.5403731050045,15.2335741758534
2020-09-22,76,10.5703512857654,7.19348690718009,4.53285304774574
2020-09-22,81,13.2966189860618,9.98034009409865,15.8166640731966
2020-09-22,95,7.95153390270319,7.04023602413984,5.60764398316037
2020-09-22,102,5.70180471346152,NA,8.05817189912797
2020-09-22,105,7.08547084617508,3.91809046620372,10.3938799057215
2020-09-22,115,11.7356685488893,7.72827955813271,5.04355484235398
2020-09-23,49,12.907282475311,10.5633486650548,15.2640647641522
2020-09-23,76,10.6220232575571,7.16929772216072,4.24466904696735
2020-09-23,81,13.3057727458349,9.98307020190225,15.832374183998
2020-09-23,95,7.97441789752387,6.90493366518367,5.84402132831825
2020-09-23,102,5.75156542503376,5.17621900656926,8.02827114446682
2020-09-23,105,7.07541434282425,4.8901142320391,9.19431587011258
2020-09-23,115,11.7503030312382,7.73062265034521,5.05310548816492
2020-09-24,21,11.7232471014643,11.3656543109258,15.8233158017665
2020-09-24,49,12.9339280253496,10.6080194531463,15.292469301941
2020-09-24,51,NA,6.97635883191552,6.93067646161769
2020-09-24,73,14.368612670804,11.9929937901909,16.277523899784
2020-09-24,76,10.6873744195866,7.15696940767719,4.22235253864273
2020-09-24,81,13.3069923735133,9.99604754141307,15.8342637142534
2020-09-24,95,7.97932474095189,6.94606269221947,5.94717328629975
2020-09-24,102,5.97483289932252,5.125064159159,8.00809378011981
