"patch","doy","crop","sm_30","sm_60","sm_90","band_1","band_2","band_3","band_4","band_5","band_6","band_7","band_8","Aspect_1m","DEM_1m","Slope_1m","TWI","lon","lat","cluster","NDVI","GNDVI","EVI","NDRE","MCARI","LCCI","nmin_90"
"96",316,"CC1",15.39591572253,9.86789765866928,11.4671818947947,NA,617,NA,980,NA,827,NA,4009,144.45996,70.21,0.61588645,4.5330696,14.1450955727014,52.4478419588227,3,0.657981803143094,0.607135698536781,1.83105075382668,NA,NA,NA,5.86
"102",316,"CC1",15.6835103987765,11.6751586963046,12.5816476797012,NA,562,NA,884,NA,775,NA,3306,89.98907,69.8,1.1455706,5.298674,14.1461502169532,52.4479197247163,3,0.620191129625092,0.578042959427208,1.69094067343666,NA,NA,NA,3.05
"105",316,"CC1",16.4083108819937,13.1052042185178,15.4729587084699,NA,501,NA,876,NA,652,NA,3738,84.80127,70.43,0.79113495,4.282639,14.1472057063592,52.4493017352567,1,0.702961275626424,0.620286085825748,1.98150764094003,NA,NA,NA,2.22333333333333
"114",316,"CC1",16.5245835654242,13.7152586400548,19.1144040668102,NA,587,NA,862,NA,650,NA,3504,82.691864,70,2.813887,6.1040874,14.1493077762792,52.4494639260661,1,0.687048627828599,0.605130554283097,2.37635303913406,NA,NA,NA,3.39
"115",316,"WOats",17.792945861283,14.3649920946469,11.5761485479778,NA,588,NA,744,NA,958,NA,1752,135,67.78,0.8104037,5.357184,14.1494371687234,52.4488110440192,1,0.292988929889299,0.403846153846154,0.642186994500162,NA,NA,NA,18.5766666666667
"12",33,"CC1",27.0222579615858,22.1619643294218,23.3982091823082,NA,349,NA,590,NA,557,NA,1911,62.359627,80.96,1.6974497,4.2121434,14.134927465579,52.4464441423173,5,0.548622366288493,0.528188724510196,1.28389910866679,NA,NA,NA,10.5133333333333
"21",33,"Rap",27.8249479503486,21.7070969409796,23.4222098316439,NA,391,NA,797,NA,538,NA,4224,186.63504,77.64,3.0973403,4.3031917,14.1361661431791,52.4456346956956,5,0.774044519109618,0.682533359888468,2.03849131733215,NA,NA,NA,6.91333333333333
"39",33,"Rap",30.2622038190864,26.9107329772824,26.1240257308564,NA,386,NA,750,NA,609,NA,3645,256.4272,76.14,2.1354916,7.777892,14.1379889453182,52.4473215672708,2,0.713681241184767,0.658703071672355,1.72304199772985,NA,NA,NA,12.14
"40",33,"CC1",21.640406298053,19.8751270584049,21.063742748413,NA,349,NA,511,NA,603,NA,2374,173.67473,74.38,0.64869124,10.542628,14.1380916274437,52.4466804094467,2,0.594894188780652,0.645753899480069,1.31165753221745,NA,NA,NA,5.35666666666667
"49",33,"Bar",27.5194406055675,21.759163919828,23.3833251366372,NA,368,NA,781,NA,656,NA,2874,0,77.08,1.4321835,4.7876196,14.1387913590246,52.4473816685676,2,0.628328611898017,0.572640218878249,1.36879782769686,NA,NA,NA,15.6033333333333
"51",33,"CC1",15.7024017585358,12.0908990580089,11.9607773719959,NA,282,NA,450,NA,532,NA,1656,142.12099,72.66,0.81654674,4.944166,14.1393434424512,52.4458643526286,4,0.513711151736746,0.572649572649573,1.02779809802487,NA,NA,NA,0.733333333333333
"58",33,"CC2",26.9123642771064,21.205738715781,21.9599962572445,NA,364,NA,959,NA,716,NA,2747,109.97992,75.08,1.6760719,6.965665,14.1400659815903,52.4474708151722,4,0.58648570603523,0.48246087425796,1.17698191933241,NA,NA,NA,18.1866666666667
"59",33,"Rye",15.0606319386467,11.6807856018512,15.5447263824423,NA,466,NA,855,NA,1008,NA,2531,126.46646,72.13,2.047798,6.1038136,14.1402688535202,52.4465861372316,4,0.430347555806725,0.494979326639102,0.748770894788594,NA,NA,NA,6.29
"60",33,"CC1",21.6046734590334,13.3684624918966,11.5002541383804,NA,279,NA,416,NA,534,NA,1540,319.39972,72.4,2.6392844,6.86139,14.1404007015269,52.445933060942,4,0.485053037608486,0.574642126789366,0.948162111215834,NA,NA,NA,0.963333333333333
"65",33,"CC2",31.2957289607084,22.5182259671166,21.5716670243177,NA,406,NA,858,NA,664,NA,2765,33.66317,73.35,0.51652324,7.0116086,14.1408841089601,52.4488366903575,0,0.612715077282006,0.526359370687276,1.41767881241565,NA,NA,NA,16.6966666666667
"66",33,"CC1",23.1717255662071,19.4894882097643,19.5226284145044,NA,376,NA,571,NA,546,NA,2268,90.0046,72.95,2.7193222,5.8198705,14.1410482157739,52.447947700967,0,0.611940298507463,0.597745685100388,1.57981651376147,NA,NA,NA,2.75666666666667
"73",33,"Rap",27.0976695587825,21.3248772130486,22.5995524266905,NA,402,NA,768,NA,551,NA,4615,199.29083,74.02,3.0325541,5.8825154,14.1419920646236,52.448667792781,0,0.786682152535811,0.714657254319153,2.07051151416344,NA,NA,NA,5.58
"74",33,"Whe",29.2645201052957,20.1093982276139,19.0486786196836,NA,501,NA,738,NA,860,NA,2335,196.70004,72.06,1.4949938,6.8241205,14.1420644177065,52.448275154544,0,0.461658841940532,0.519687601692158,0.986358165039454,NA,NA,NA,67.9233333333333
"76",33,"WOats",18.5156695155931,13.3758801456517,9.6273964736366,NA,392,NA,620,NA,761,NA,2061,146.28304,70.67,0.51658386,5.4020534,14.1421135609982,52.4467136260298,4,0.460666194188519,0.537486012681835,0.881236442516269,NA,NA,NA,6.45
"81",33,"Bar",24.2230029350597,20.6977818452284,22.6283257510747,NA,399,NA,800,NA,759,NA,2932,142.12816,74.82,2.448353,4.944151,14.1430031008383,52.4489951928179,0,0.588729341641831,0.571275455519829,1.20869952163756,NA,NA,NA,17.13
"90",33,"Fal",15.7355864991766,11.1463703128756,6.85074870614436,NA,485,NA,750,NA,1072,NA,1934,183.36948,70.16,1.2195559,5.236072,14.1443648851581,52.4475387689377,3,0.286759813705922,0.441132637853949,0.455650703034147,NA,NA,NA,42.0566666666667
"95",33,"WOats",14.6677651706559,10.1427196096439,9.86165817155061,NA,496,NA,788,NA,967,NA,2184,159.44875,70.74,1.2238753,7.0242953,14.1452327097831,52.4485049887166,3,0.386226594731831,0.46971736204576,0.713030232013124,NA,NA,NA,4.47333333333333
"96",33,"CC1",16.0312445482792,10.8514318258035,12.289564242875,NA,288,NA,453,NA,512,NA,1903,144.45996,70.21,0.61588645,4.5330696,14.1450955727014,52.4478419588227,3,0.575983436853002,0.615449915110357,1.23490767045455,NA,NA,NA,3.20666666666667
"102",33,"CC1",15.8703011099028,12.8496705435497,14.6282789867884,NA,314,NA,532,NA,667,NA,1942,89.98907,69.8,1.1455706,5.298674,14.1461502169532,52.4479197247163,3,0.488692985818321,0.569927243330639,0.887883008356546,NA,NA,NA,3.35666666666667
"105",33,"CC1",16.3661133190181,14.8436830280917,16.883519520053,NA,336,NA,492,NA,582,NA,1648,84.80127,70.43,0.79113495,4.282639,14.1472057063592,52.4493017352567,1,0.478026905829596,0.540186915887851,1.01678748569248,NA,NA,NA,1.87
"115",33,"WOats",18.2451529001066,14.6946413302602,12.5930688959291,NA,397,NA,717,NA,740,NA,1766,135,67.78,0.8104037,5.357184,14.1494371687234,52.4488110440192,1,0.409417398244214,0.422472815142972,0.794240594519275,NA,NA,NA,8.31666666666667
"20",209,"Whe",9.36312920028945,8.77808049043081,13.4380679285565,NA,527.75,NA,761.5,NA,980.25,NA,2232.25,91.84943,79.5,2.2202392,7.0344896,14.13579069427,52.4462646980126,5,0.389727626459144,0.491273486430063,0.75301476558506,NA,NA,NA,1.40333333333333
"49",203,"Bar",18.3261034046621,10.2996806961116,13.4943694958814,NA,785,NA,1342.5,NA,1994.25,NA,3845.25,0,77.08,1.4321835,4.7876196,14.1387913590246,52.4473816685676,2,0.316979193424095,0.482434581465953,0.466282086807567,NA,NA,NA,2.06
"50",209,"Whe",11.8978815312358,10.6183129011604,13.5228137745401,NA,509.5,NA,743.5,NA,952.75,NA,2072.75,140.4368,75.26,2.1358428,4.898529,14.1391503869496,52.4467583166469,2,0.370186745992398,0.471992898357745,0.705467372134039,NA,NA,NA,1.66666666666667
"59",203,"Rye",13.4583783287281,7.80786613558908,7.15122690812171,NA,759,NA,1212,NA,1715,NA,3305.25,126.46646,72.13,2.047798,6.1038136,14.1402688535202,52.4465861372316,4,0.316767093272247,0.463390337041342,0.503004902736043,NA,NA,NA,2.51666666666667
"60",280,"Sun",9.75612538586771,5.48367783652115,4.98301519784898,NA,658,NA,990,NA,1354,NA,2157,319.39972,72.4,2.6392844,6.86139,14.1404007015269,52.445933060942,4,0.228709769296497,0.370829361296473,0.375444174303348,NA,NA,NA,3.97333333333333
"68",203,"Lup",8.26643596876694,6.20818862353004,7.67918927449965,NA,539,NA,943.5,NA,1056.25,NA,3256,110.22955,71.21,1.4497089,6.0747347,14.1412604537066,52.4469128433194,4,0.510116528494405,0.550660792951542,0.990521433717579,NA,NA,NA,3.57333333333333
"73",209,"Rap",20.2853314171308,11.9707913577977,14.2110456600001,NA,883.75,NA,1367.75,NA,1934,NA,3696.5,199.29083,74.02,3.0325541,5.8825154,14.1419920646236,52.448667792781,0,0.313027262232484,0.459841042602557,0.508020234337844,NA,NA,NA,1.67
"74",209,"Whe",9.73441894254515,6.03603202018514,5.47060454786813,NA,463.5,NA,718,NA,919.75,NA,2030.5,196.70004,72.06,1.4949938,6.8241205,14.1420644177065,52.448275154544,0,0.376493517498517,0.477533199927233,0.681650813132863,NA,NA,NA,6.94666666666667
"76",203,"WOats",15.0443826635704,7.35099159497092,5.62541511703598,NA,600.75,NA,954,NA,1302.5,NA,2611.5,146.28304,70.67,0.51658386,5.4020534,14.1421135609982,52.4467136260298,4,0.334440470107307,0.464871687000421,0.552612137203166,NA,NA,NA,1.83333333333333
"81",203,"Bar",16.3381247059564,9.51348486325891,12.8438937776111,NA,744,NA,1258.75,NA,1878.75,NA,3585.25,142.12816,74.82,2.448353,4.944151,14.1430031008383,52.4489951928179,0,0.312316983894583,0.480284888521883,0.459787148053348,NA,NA,NA,1.41
"89",203,"Rye",12.6323996898627,6.44340700684602,9.07469646619552,NA,760.25,NA,1235.75,NA,1799.25,NA,3413.75,128.29315,71.99,1.7330164,7.3268886,14.1439102253741,52.4484097848587,3,0.309706502973336,0.468437466394236,0.47438553190239,NA,NA,NA,1.51666666666667
"90",203,"Lup",12.7805348539234,7.40843710899943,6.62440722991723,NA,552.5,NA,945.5,NA,1020.25,NA,3468.5,183.36948,70.16,1.2195559,5.236072,14.1443648851581,52.4475387689377,3,0.54541910331384,0.571590394200272,1.12361742163477,NA,NA,NA,2.49333333333333
"95",203,"WOats",12.7313657952439,8.17691916861505,7.23779942007859,NA,600.75,NA,933,NA,1225.75,NA,2494,159.44875,70.74,1.2238753,7.0242953,14.1452327097831,52.4485049887166,3,0.340950332683648,0.455500437700613,0.593319454515684,NA,NA,NA,2.70333333333333
"96",280,"Sun",11.3692647224521,3.74044988218685,7.05139182700999,NA,579,NA,997,NA,1261,NA,2253,144.45996,70.21,0.61588645,4.5330696,14.1450955727014,52.4478419588227,3,0.28229937393284,0.386461538461538,0.452761296211775,NA,NA,NA,3.74
"105",280,"Sun",10.0340636918571,4.54667818704596,8.78904246978106,NA,602,NA,927,NA,1298,NA,2242,84.80127,70.43,0.79113495,4.282639,14.1472057063592,52.4493017352567,1,0.266666666666667,0.414957399810666,0.427846265409717,NA,NA,NA,4.13333333333333
"110",203,"Lup",9.29226909794703,6.69432549582477,11.8678734756944,NA,528,NA,846,NA,945.5,NA,3170.75,279.45758,70.19,1.7419513,5.690326,14.1482420623016,52.4493808888657,1,0.540601275432736,0.578763926059625,1.13887609396591,NA,NA,NA,12.0433333333333
"115",203,"WOats",14.1238066745649,7.91104706180481,5.82142081650474,NA,620.25,NA,999.5,NA,1410.5,NA,2820,135,67.78,0.8104037,5.357184,14.1494371687234,52.4488110440192,1,0.333175747547571,0.476633067155387,0.531315377801233,NA,NA,NA,2.28666666666667
"119",59,"CC3",16.8270741223373,11.1244211468983,14.3020061171574,NA,464,NA,735,NA,769,NA,2325,299.05707,69.33,1.4743903,5.0462446,14.1504930684504,52.4488922986153,1,0.502908855850032,0.519607843137255,1.1242774566474,NA,NA,NA,3.65666666666667
"115",59,"CC3",18.5247861804468,13.9888643727768,11.6158524852728,NA,534,NA,798,NA,891,NA,2169,135,67.78,0.8104037,5.357184,14.1494371687234,52.4488110440192,1,0.417647058823529,0.462082912032356,0.909997151808602,NA,NA,NA,3.44666666666667
"114",59,"Fal",15.5032277671735,12.6348067070784,17.9438208651597,NA,643,NA,1002,NA,1153,NA,2219,82.691864,70,2.813887,6.1040874,14.1493077762792,52.4494639260661,1,0.316132858837485,0.377832971126979,0.617541420461128,NA,NA,NA,19.3066666666667
"110",59,"Rye",17.2979972191282,14.180909509212,17.6486487973974,NA,410,NA,728,NA,703,NA,2910,279.45758,70.19,1.7419513,5.690326,14.1482420623016,52.4493808888657,1,0.610849709382784,0.59978009895547,1.36100148001973,NA,NA,NA,6.1
"105",59,"Woats",18.5049551348596,12.8752544495527,15.4544968935915,NA,557,NA,891,NA,982,NA,2162,84.80127,70.43,0.79113495,4.282639,14.1472057063592,52.4493017352567,1,0.375318066157761,0.416311824434982,0.76079948420374,NA,NA,NA,8.57
"102",59,"Fal",17.6848205012118,15.4269568783392,17.1985293766024,NA,695,NA,973,NA,1195,NA,2165,89.98907,69.8,1.1455706,5.298674,14.1461502169532,52.4479197247163,3,0.288690476190476,0.379859783301466,0.588092639747787,NA,NA,NA,27.6233333333333
"95",59,"CC3",14.6585731952287,10.244840935351,9.957471483507,NA,602,NA,943,NA,1143,NA,2230,159.44875,70.74,1.2238753,7.0242953,14.1452327097831,52.4485049887166,3,0.322265045953157,0.405609832965648,0.594118933100131,NA,NA,NA,3.44333333333333
"96",59,"Woats",15.5401246017717,9.19231257908436,11.1731640978749,NA,705,NA,1113,NA,1316,NA,2344,144.45996,70.21,0.61588645,4.5330696,14.1450955727014,52.4478419588227,3,0.280874316939891,0.356089094590686,0.518825073180579,NA,NA,NA,6.44
"90",59,"Rye",16.1845427257735,11.758493847059,10.1279069411537,NA,426,NA,800,NA,696,NA,3368,183.36948,70.16,1.2195559,5.236072,14.1443648851581,52.4475387689377,3,0.65748031496063,0.616122840690979,1.53563218390805,NA,NA,NA,1.06
"89",59,"CC3",16.9489541533745,14.857448389364,18.1634333064935,NA,540,NA,851,NA,943,NA,2405,128.29315,71.99,1.7330164,7.3268886,14.1439102253741,52.4484097848587,3,0.436678614097969,0.477272727272727,0.91056302939711,NA,NA,NA,17.92
"81",59,"CC3",23.2665022798381,19.547252488551,22.0087030798206,NA,583,NA,929,NA,1008,NA,2172,142.12816,74.82,2.448353,4.944151,14.1430031008383,52.4489951928179,0,0.366037735849057,0.400838439213157,0.756138755359231,NA,NA,NA,6.05666666666667
"76",59,"CC3",18.8150226858508,12.7909971483395,10.3012361281387,NA,550,NA,866,NA,1029,NA,2016,146.28304,70.67,0.51658386,5.4020534,14.1421135609982,52.4467136260298,4,0.324137931034483,0.399028452463567,0.606861780619774,NA,NA,NA,4.32
"74",59,"Rap",26.8283421341189,17.9730963443853,18.3657930402442,NA,472,NA,827,NA,787,NA,3192,196.70004,72.06,1.4949938,6.8241205,14.1420644177065,52.448275154544,0,0.604423221915054,0.588454839512316,1.37428571428571,NA,NA,NA,3.47333333333333
"73",59,"Bar",27.0611756397255,20.8107804613925,23.0269047272614,NA,377,NA,810,NA,545,NA,4342,199.29083,74.02,3.0325541,5.8825154,14.1419920646236,52.448667792781,0,0.776959279721711,0.68555900621118,1.98359628043047,NA,NA,NA,7.34
"68",59,"Rye",16.9081457116825,12.9226316177684,15.614123555614,NA,474,NA,862,NA,800,NA,3349,110.22955,71.21,1.4497089,6.0747347,14.1412604537066,52.4469128433194,4,0.614364907206556,0.590596057943481,1.38683351468988,NA,NA,NA,1.28
"66",59,"Fal",22.9172499095384,18.1604808324799,19.2066302143125,NA,629,NA,1031,NA,1237,NA,2027,90.0046,72.95,2.7193222,5.8198705,14.1410482157739,52.447947700967,0,0.24203431372549,0.325703073904513,0.417326994189118,NA,NA,NA,23.7333333333333
"65",59,"Whe",28.7302097189336,21.7012038076877,19.9731294282583,NA,636,NA,1010,NA,1149,NA,2403,33.66317,73.35,0.51652324,7.0116086,14.1408841089601,52.4488366903575,0,0.353040540540541,0.40814532669206,0.692358657243816,NA,NA,NA,72.7033333333333
"60",59,"Woats",19.0448511770043,11.8988847599092,10.2969281704492,NA,606,NA,925,NA,1089,NA,2141,319.39972,72.4,2.6392844,6.86139,14.1404007015269,52.445933060942,4,0.325696594427245,0.396607958251794,0.636649721617042,NA,NA,NA,5.75333333333333
